date,time,bri,ct,cct_in,cct,lcone_lux,mcone_lux,mlux,plux,rhlux,scone_lux
24/09/2022,07:40:54,5,500,2000,2728.23,2.6603601997366857,2.0786640214609884,1.2212357665530769,2.6104820578696777,1.4656757370945592,0.5404161491702374
24/09/2022,07:41:11,5,488,2050,2143.03,2.810713956144076,1.9411092027805668,0.9090224749586822,2.708027727999662,1.1837875886115687,0.293228499606056
24/09/2022,07:41:28,5,476,2100,2693.49,3.197815150144676,2.4919458832419705,1.4079798914486912,3.1486731225998663,1.7510664233312134,0.4495336906629014
24/09/2022,07:41:45,5,465,2150,2472.12,3.528533809372227,2.633578477139366,1.3625259403001906,3.451681167678588,1.7486545437903829,0.3314210681872609
24/09/2022,07:42:03,5,455,2200,2442.47,2.9712748044120647,2.1753642842193837,0.9499243262570083,2.907753186356724,1.2688073952228072,0.2956670229513432
24/09/2022,07:42:21,5,444,2250,2503.61,3.122790627688257,2.3170964566578536,1.0443923523408531,3.060028266502562,1.3787299281871586,0.30792939413219184
24/09/2022,07:42:38,5,435,2300,2502.59,3.837314542604673,2.8536271457916245,1.3456840685921108,3.7592910410599094,1.748325800443764,0.42164352348073175
24/09/2022,07:42:55,5,426,2350,2499.93,3.677218672645796,2.7498759699819995,1.4344105574291641,3.590692597439141,1.801519991534147,0.4885457073322465
24/09/2022,07:43:11,5,417,2400,2718.39,3.8076677412086286,2.969004034422,1.6088831771673378,3.749954424135574,2.011107500528218,0.46624125457884946
24/09/2022,07:43:28,5,408,2450,2589.83,3.7166091522001947,2.8073751373621536,1.3623134287168206,3.6477556816630408,1.742527402845549,0.5124657473161189
24/09/2022,07:43:45,5,400,2500,2913.69,4.116095717685263,3.2677275886595276,1.9321290032856344,4.058662050735609,2.276773783230662,1.2415293348922825
24/09/2022,07:44:02,5,392,2550,2083.47,4.127113656006734,2.7751584367683266,1.22824940009851,3.94771271057312,1.567729603473018,0.6580877859699265
24/09/2022,07:44:19,5,385,2600,2610.9,3.77262999160212,2.8419119500003385,1.4000108965363152,3.702959752863929,1.753283920075815,0.8334261096344707
24/09/2022,07:44:36,5,377,2650,2889.58,3.7435832059017002,2.9763962381788063,1.5809331643372087,3.712966368056966,1.9715254049833772,0.6942563836239061
24/09/2022,07:44:53,5,370,2700,2910.68,4.563559533307175,3.6210264087677473,1.652470226011868,4.564204246042256,2.199238256420684,0.6627983116740463
24/09/2022,07:45:10,5,364,2750,2996.42,4.685564705809485,3.760964744110424,1.7524591891873407,4.696723764508687,2.2975985880467698,0.7927178734702516
24/09/2022,07:45:27,5,357,2800,3433.24,4.022834301226566,3.4431883703748887,1.7943967364131304,4.082982521137966,2.2883476435942915,0.8150414647352168
24/09/2022,07:45:44,5,351,2850,2934.9,4.583046322144866,3.633768777997637,1.8106693231577518,4.5659310225347465,2.3015386034597802,1.1069805548034326
24/09/2022,07:46:01,5,345,2900,2392.52,4.560651773773115,3.306832618602356,1.5085806031046556,4.4395898294295835,1.9618844842736862,0.5577080293950295
24/09/2022,07:46:19,5,339,2950,3193.88,4.086226098020313,3.3839080428617905,1.6021421115867087,4.131500651881561,2.1215794471361127,0.6810821600463507
24/09/2022,07:46:39,5,333,3000,2662.89,4.318719234680024,3.302011308826781,1.6492717447620773,4.24981399075295,2.09591797085157,0.7292536864590724
24/09/2022,07:46:59,5,328,3050,2960.31,4.064692784800137,3.247472873604394,1.6653639085284215,4.046686815649696,2.1019615259536772,0.8927530177497363
24/09/2022,07:47:18,5,323,3100,2817.86,3.994116023006202,3.1289726962482534,1.5580458344288086,3.9596815888060535,1.9799328932163789,0.753681264415472
24/09/2022,07:47:35,5,317,3150,3078.94,4.485283331619973,3.6458843654564905,1.8262917807253383,4.494674283193437,2.3317032331681964,0.9270108750373646
24/09/2022,07:47:51,5,312,3200,3065.25,4.543098806203519,3.6806441743367415,1.8695227340087603,4.544936726797429,2.3626769708354343,1.0252849213463593
24/09/2022,07:48:08,5,308,3250,2698.97,4.8326658349125555,3.6961408388926964,1.6411766313897973,4.790152752220057,2.170828341770767,0.7504288806824779
24/09/2022,07:48:26,5,303,3300,3041.68,4.381407619824142,3.5218330953332724,1.8926323238579976,4.3626407940176595,2.3267286170417445,1.312276190781302
24/09/2022,07:48:44,5,299,3350,3050.44,4.6425012661044125,3.7332207686067664,2.2529098537959706,4.585210302489958,2.6168551148303383,1.7300628083211889
24/09/2022,07:49:02,5,294,3400,3394.14,4.945521643059883,4.152851048011915,2.4326156164669865,4.957286457275893,2.8904267490252993,1.777611385127518
24/09/2022,07:49:19,5,290,3450,3889.6,3.909848231723799,3.4658435546401942,2.3019686659613403,3.94242307089212,2.6444302173469594,1.7441338774880946
24/09/2022,07:49:36,5,286,3500,3383.58,4.7210493728522644,3.9513776696231835,2.2532814488652257,4.737885110960345,2.7098615412239093,1.7057581148724512
24/09/2022,07:49:53,5,282,3550,3510.36,4.671504513338168,3.988866947102348,2.368662434231389,4.701114945122681,2.8148877741199314,1.6309803572504857
24/09/2022,07:50:10,5,278,3600,4259.15,3.6186240041606266,3.308679442621603,2.514695029027216,3.6360294136134117,2.7458206310218847,1.945289613289349
24/09/2022,07:50:27,5,274,3650,3363.68,4.905090577536028,4.102636560764178,2.3618681123078424,4.918523377031843,2.832294364388993,1.711093698304556
24/09/2022,07:50:44,5,270,3700,3625.01,4.392330497494675,3.796901745269249,2.3689854454318477,4.418562488211551,2.77521445489261,1.6877886493426768
